"2015M01",61,59,59,64,56,57,63,58,55,55,63,61,63,65,53,81,58,72,63,68,74,68,52,60,64,56,60,71,53,69,61
"2015M02",62,65,52,52,62,63,63,63,70,77,57,75,67,55,58,70,63,61,62,60,65,65,71,62,62,60,67,58,-,-,-
"2015M03",69,64,59,60,52,51,53,45,65,67,72,63,55,70,61,49,62,53,58,71,58,66,67,67,70,70,65,53,68,70,58
"2015M04",63,71,71,52,59,64,76,52,57,56,57,61,74,74,50,55,53,67,47,63,73,50,54,44,44,60,55,50,63,55,-
"2015M05",56,60,48,47,60,42,45,61,41,66,51,41,48,42,45,58,42,63,44,44,35,49,49,34,37,45,45,46,50,57,53
"2015M06",68,47,49,50,48,49,53,56,40,43,44,56,39,47,46,58,47,39,47,40,46,50,45,31,56,46,39,43,59,59,-
"2015M07",58,54,46,51,57,48,54,71,41,53,47,63,48,53,56,52,62,50,60,62,47,53,51,59,65,56,50,50,48,53,44
"2015M08",42,45,59,43,50,46,42,48,45,54,59,48,52,54,54,52,41,54,45,47,46,47,57,38,52,60,46,52,46,43,56
"2015M09",51,44,44,38,41,41,32,45,37,47,54,55,39,47,51,43,48,49,57,65,57,35,48,49,38,47,41,46,44,51,-
"2015M10",55,49,41,55,56,64,55,51,43,61,61,47,50,45,63,57,38,54,65,56,53,47,59,41,61,53,69,57,69,54,54
"2015M11",52,57,52,61,48,54,54,53,62,59,53,55,51,53,43,39,58,49,47,48,66,51,49,53,56,63,51,60,46,65,-
"2015M12",43,43,51,55,62,51,75,59,60,63,55,55,66,41,56,46,58,57,52,49,50,43,53,55,52,40,54,55,53,51,57
"2016M01",50,60,75,53,57,55,73,70,71,72,77,61,60,65,61,57,58,63,73,53,45,57,52,68,56,76,63,61,66,70,65
"2016M02",86,63,57,54,51,58,65,57,69,55,61,56,59,69,70,49,50,58,56,73,65,54,60,67,50,59,54,62,63,-,-
"2016M03",70,52,64,65,58,55,56,62,55,46,55,72,70,70,42,52,66,72,55,54,61,53,53,45,57,62,57,68,65,49,64
"2016M04",78,59,58,62,55,59,49,50,52,46,46,52,43,52,47,58,41,56,67,53,71,50,57,45,45,44,45,53,51,52,-
"2016M05",61,54,42,55,60,58,53,45,61,64,49,47,56,40,41,52,29,57,53,53,58,44,46,39,43,53,61,64,49,50,43
"2016M06",46,52,52,43,48,53,55,48,44,49,44,54,45,53,55,51,57,50,37,47,38,49,52,39,54,56,46,37,51,54,-
"2016M07",50,42,54,39,48,57,59,38,50,56,54,70,45,55,58,48,40,47,41,44,47,45,35,53,56,47,47,47,52,50,43
"2016M08",41,45,39,45,46,50,53,49,47,44,47,54,44,41,52,60,53,36,53,53,48,52,44,48,41,54,57,47,51,63,48
"2016M09",46,57,61,47,55,52,50,55,43,43,34,48,54,49,48,45,58,61,41,42,57,49,45,55,69,44,57,36,43,57,-
"2016M10",57,61,48,46,58,42,71,48,56,50,51,48,44,54,75,68,59,43,53,46,49,64,61,44,56,70,49,54,64,58,43
"2016M11",48,58,38,43,44,67,49,42,53,57,58,62,53,57,59,51,47,72,46,49,55,46,63,53,52,52,45,43,62,49,-
"2016M12",33,52,57,61,56,56,64,64,57,50,47,42,56,57,50,48,46,48,61,73,55,61,53,53,57,67,82,61,62,60,61
"2017M01",73,70,68,68,62,63,69,79,77,71,71,88,72,64,93,94,98,84,70,75,84,81,72,71,76,81,81,87,101,84,98
